area,rooms,floor,year_of_construction,price
72,5,5,1961,576469
102,3,2,1951,326409
88,3,5,2003,596905
62,1,1,1953,647901
86,1,1,2013,585215
91,5,2,1983,544670
63,1,8,1987,803007
118,2,2,1981,699084
109,1,8,1954,858397
55,4,7,1977,748335
78,4,2,2021,770806
107,4,9,1992,510428
99,4,10,1998,945560
86,5,8,1991,787888
53,3,5,1954,759188
88,3,4,1953,579847
117,1,10,1997,849840
83,5,9,1958,330679
101,3,2,2020,977150
50,4,1,1983,883379
116,2,1,1979,279528
57,5,7,1974,555265
116,3,3,2019,843531
113,4,1,1962,446608
109,1,2,1964,453936
114,3,6,1957,238445
82,1,9,2001,402433
59,3,10,1978,729700
114,5,3,2019,648016
83,5,8,2007,169190
102,3,6,1990,493812
51,2,1,1989,245473
107,5,1,1957,955609
100,5,2,1997,753695
116,2,1,1954,207956
54,3,4,1982,624447
75,2,3,1979,442998
110,1,5,2015,412870
96,2,1,1971,179099
105,1,4,1966,952033
104,2,7,2015,167984
102,1,2,1953,769376
89,2,2,2006,726469
74,3,10,2007,561699
84,5,6,1999,296056
112,5,8,2011,243921
108,3,2,1989,361441
120,5,6,2016,470503
107,5,6,1983,943099
77,2,7,1968,599722
109,2,9,2019,576443
52,4,4,1985,664284
52,4,5,1962,156712
106,5,5,1984,411715
105,2,3,1987,633046
59,2,9,1976,424638
117,3,10,1960,839531
74,1,7,1975,736254
51,1,5,1950,877667
107,1,9,1965,962524
113,2,7,1963,537521
55,3,1,1960,643897
104,2,8,1957,225893
82,1,9,2007,446422
77,1,2,1959,406435
74,2,3,2001,616586
81,1,2,1958,662650
96,1,3,1968,443145
105,4,2,2005,601884
90,2,1,2003,922407
59,2,10,1999,612058
76,5,4,1991,369213
95,3,1,1987,820463
100,1,5,1991,602810
71,3,9,2017,315494
85,5,2,1974,242329
120,4,6,1960,301698
65,1,3,1994,959303
59,5,5,1965,156504
50,3,6,1995,536154
54,2,8,2019,469994
82,5,1,1953,859541
57,4,9,1989,823360
76,3,4,1991,783793
63,5,7,1962,266055
110,5,10,2008,932366
66,3,1,1996,840245
67,2,4,1961,688614
92,4,9,1975,334812
56,2,4,2021,747987
65,5,8,1961,247728
99,3,4,2000,934141
113,5,6,1951,892397
94,1,6,1975,896360
93,3,2,1991,553668
63,3,4,1985,327485
108,5,2,1952,789469
113,1,4,1976,349836
96,1,2,1989,454337
91,3,9,2017,171143
95,4,5,2000,360524
120,5,6,1989,177043
75,4,6,1951,537116
98,2,6,1970,234635
53,3,1,1974,852598
82,4,4,2003,759874
94,2,10,1968,288608
112,4,1,1983,999405
51,4,3,1989,870115
61,4,8,1954,397197
91,2,6,1982,264892
69,5,8,1981,604266
102,2,10,2018,939267
63,4,1,2013,391235
76,2,4,2005,294825
50,5,8,1955,256804
74,1,7,1952,350002
111,1,8,1987,323273
110,3,3,1985,434435
61,5,8,1956,818106
107,2,3,2007,360114
85,2,5,2003,446224
92,3,4,1951,297459
100,4,7,1960,726363
84,3,5,1997,580216
93,3,2,2003,947056
102,3,1,1967,758561
50,5,10,1975,161873
79,5,10,2019,797802
96,4,6,1967,366142
75,4,7,2013,366399
76,1,9,1983,602145
115,2,6,1953,560894
63,5,4,1997,839479
108,2,3,1976,832415
76,4,1,2010,667659
116,5,3,1983,316833
117,3,4,2015,526161
83,5,9,1994,598376
53,5,10,1987,237564
53,5,3,1960,661413
120,4,4,1984,460926
95,3,10,1959,820399
97,5,9,1962,711880
102,4,4,1998,648640
55,3,2,1974,908217
62,4,7,1967,679475
52,2,6,2007,640764
80,1,5,2002,893523
51,2,2,1985,406507
88,4,5,1964,875783
109,3,4,1980,484028
109,1,8,1984,181591
61,3,10,1991,754523
71,1,4,1964,335838
111,1,8,2022,261094
105,2,2,1961,546883
99,5,10,1969,734888
69,3,9,2016,598209
56,4,5,1995,355328
99,3,10,1999,654530
66,3,9,1961,541596
54,2,10,2020,650535
120,1,3,1983,793474
60,1,4,1962,165575
60,2,5,2005,385298
56,5,8,2010,578589
98,2,2,1950,611609
54,1,9,1962,165701
56,5,8,1977,448505
79,4,7,2016,989576
90,5,2,1976,571494
111,4,10,1963,309566
107,2,10,1961,543854
97,2,10,1976,438317
119,1,7,2014,553724
83,4,6,1963,484393
103,4,1,1981,330853
120,3,8,1970,671044
73,3,6,1961,291300
107,3,1,1977,523397
61,3,7,1959,600211
114,1,3,1956,515962
62,4,4,1968,694158
77,5,5,1955,780081
103,3,10,1996,989966
73,3,8,1994,838867
52,4,3,1979,885501
77,1,1,2002,453265
61,2,7,1962,659229
86,3,5,2007,630296
119,1,10,1985,396099
120,2,6,2002,353678
51,5,1,1959,768189
63,2,3,2019,481074
89,1,9,1990,767667
88,5,3,1962,422438
110,3,6,2007,703722
101,5,10,1960,297285
58,4,8,1992,404635
108,3,4,1964,669941
77,5,3,1968,450049
62,4,7,1964,618394
62,2,1,1959,152357
77,4,3,1970,577217
89,4,6,1960,291075
81,2,1,1957,647723
103,5,8,1971,232905
59,4,2,1979,219848
56,4,1,1987,487742
59,1,6,2000,892533
111,4,9,1979,408291
71,1,4,2009,332464
51,4,8,1965,572572
113,2,5,1988,344201
110,1,6,2016,837408
107,4,6,2004,953963
119,2,4,2013,864480
117,4,8,2009,500100
105,5,3,1993,789187
96,5,5,1985,381590
110,1,9,2016,855367
78,1,5,1977,184912
56,2,8,1978,396007
73,1,10,1986,467177
76,2,3,2018,981215
109,1,8,1996,959652
80,4,3,2019,591510
109,5,6,2007,728745
102,1,6,1983,768667
115,3,7,2022,184113
117,3,7,1955,237748
78,3,4,1961,390888
60,1,6,1971,653278
106,2,10,1976,967785
74,2,8,2009,263626
57,2,6,2013,212203
120,5,10,1984,559271
55,5,7,2012,762875
95,1,7,1975,221362
50,1,7,1990,565431
76,1,6,1974,306107
104,3,3,1998,304965
94,3,9,1954,684280
70,4,10,2002,485321
75,2,2,1963,248086
117,3,4,1975,244876
91,1,9,1961,755205
119,5,1,1963,788414
87,5,7,1999,598521
92,1,6,1994,272934
95,2,6,1992,863578
77,3,4,1975,643417
78,1,3,1982,870560
101,1,8,1957,981730
78,5,7,1986,580670
80,5,1,1983,808562
104,1,2,1988,228649
95,4,10,1967,367334
74,5,9,1979,607408
80,5,8,2021,279914
57,3,4,1993,605872
67,1,4,2011,271213
63,3,2,1985,612356
62,4,5,1953,759641
91,4,8,1958,630677
85,2,9,2012,963707
111,1,4,2020,537563
76,5,3,2017,511172
57,4,8,2007,929998
108,2,9,1970,634012
50,3,10,1981,998021
79,5,4,1992,997533
98,3,7,1956,364536
119,3,10,1957,629175
73,4,1,2000,675060
99,5,5,2003,226077
111,3,7,1958,260795
70,2,6,1956,855966
102,1,7,1975,935505
95,5,1,1980,924609
64,5,4,1951,553754
119,5,1,1988,778675
64,2,2,2014,787936
106,5,9,2017,421044
100,2,9,2002,795554
113,4,7,1982,459422
61,5,4,1958,218058
68,3,1,2001,739816
88,2,8,1969,977328
59,4,4,1984,718737
94,2,4,1982,347143
61,3,2,2020,233466
95,3,4,2013,961872
56,2,8,1990,897286
68,5,1,1959,451659
106,3,2,1954,294217
51,5,9,1988,613861
81,4,6,1986,949570
97,3,3,1960,714096
56,2,3,1986,665761
112,1,4,2015,169477
84,4,8,2017,763648
50,5,5,1991,757794
56,4,8,1991,387738
76,4,10,2019,936940
76,3,1,1988,835196
73,5,10,1962,281247
64,4,7,2009,669551
78,3,5,1984,185268
97,1,9,2008,341752
105,2,10,1968,380382
104,3,3,1969,578292
72,2,2,1971,960578
117,4,4,2013,821115
51,3,3,1991,710421
118,1,7,2019,956105
57,4,1,1959,336610
75,1,5,1992,254480
113,2,1,1983,953553
95,3,7,1993,248289
57,5,5,1988,955144
69,2,1,1977,737281
54,3,1,1990,726864
69,1,9,1980,923799
114,3,9,1950,697935
74,5,5,2004,692685
53,1,6,1963,490747
113,3,1,2006,410292
59,5,6,1985,797690
87,3,9,1955,948283
80,3,8,2002,513410
86,5,6,1999,293727
58,4,4,2021,952303
94,3,5,1985,440896
117,3,4,1977,484443
75,4,6,2004,173065
109,2,2,2000,521250
60,1,9,2005,535554
118,1,4,1966,259497
83,2,9,1954,770767
69,5,4,1966,722552
62,4,2,1973,991951
71,4,3,1967,166968
83,3,8,2020,466197
109,3,10,1950,285425
115,2,5,1960,798655
102,5,4,1964,847887
52,4,10,1967,681361
53,2,7,2010,733996
65,4,6,1979,928691
111,5,3,1989,266277
69,1,7,1959,993174
115,4,10,1967,872477
53,4,7,1980,813467
69,1,6,1981,459704
56,5,5,2010,578591
57,3,8,1989,235168
65,3,2,1954,877937
81,1,8,1955,175366
120,4,5,1999,561336
96,3,10,2008,760008
100,3,1,1986,655689
98,5,7,1954,846257
78,1,8,1963,441881
79,3,9,2008,875575
72,5,6,2004,337170
87,4,4,1998,255495
89,4,10,1963,704212
108,1,7,2022,631788
114,3,3,1964,270360
86,1,2,2019,880514
111,2,3,2017,800100
65,1,3,1954,555879
73,5,3,2006,584440
80,1,6,1983,466077
72,4,10,2010,332721
75,4,9,1983,449202
113,2,2,1983,501241
108,2,2,1984,566640
106,2,10,1980,693108
118,4,9,1956,982599
69,1,8,1996,613005
107,3,4,1953,474686
96,5,8,1952,909699
108,2,10,1959,508082
106,3,8,2002,843225
61,2,4,1977,157780
95,3,3,1966,707231
84,5,2,1987,161579
96,3,9,1956,634810
68,4,6,1960,585543
68,3,6,1995,602642
105,2,9,1984,253146
111,1,10,1966,169156
92,2,4,2007,661753
56,1,5,2011,215336
108,3,5,2016,634030
55,2,7,2017,941089
50,4,8,1985,735680
68,4,5,2006,334436
110,1,10,1970,695438
66,1,4,2019,724153
93,2,9,1982,373184
67,2,4,1990,880525
118,4,1,2018,989399
76,4,3,1976,727824
78,1,4,1973,197479
101,1,5,1973,357643
110,5,3,1973,178465
117,2,10,1955,815845
62,3,9,1963,984579
118,3,5,1952,860640
56,1,3,1974,628250
66,2,2,1990,632423
76,1,7,2022,377911
64,1,9,1976,708605
103,5,7,1972,976198
65,4,9,1952,419885
95,4,1,1987,860702
81,4,3,1964,791122
111,5,6,2016,439540
87,4,5,1982,529246
66,2,10,2021,380238
69,1,6,2001,672735
83,5,9,2008,249188
54,1,7,2002,665685
87,5,10,2010,312163
67,2,3,2018,601596
100,2,7,1977,760255
102,5,8,1963,154577
111,1,5,1996,875431
106,1,8,1984,851440
112,5,4,1963,415427
111,3,3,2014,544651
103,5,1,1971,939676
77,1,5,2021,459322
63,1,10,2018,982734
96,4,5,1973,697892
64,2,10,1996,198884
91,3,1,1997,301341
56,1,6,2011,504866
59,1,7,2013,997338
92,1,7,1965,369018
89,4,1,1994,954598
62,1,2,1989,821479
56,3,7,1956,887385
84,1,2,1993,775454
118,3,10,2005,782473
70,1,1,1965,303048
53,5,1,1972,633916
119,3,7,1966,666355
111,3,5,2015,937085
68,1,5,2020,483604
101,2,1,1973,218477
106,2,4,1966,598506
73,3,8,1968,468853
95,2,2,1952,957052
93,5,2,1972,285863
51,5,9,1958,575272
106,5,5,1954,988483
113,5,5,1977,663040
87,5,9,1988,218522
90,2,3,1951,750498
104,1,1,2009,263597
50,5,8,1954,728910
68,3,8,1995,323462
60,4,4,1985,173297
114,5,4,1957,936157
66,4,6,1952,358305
91,4,2,1981,455556
70,3,2,1971,526491
111,1,2,1952,491178
116,2,8,2021,845509
84,2,3,1959,297713
111,5,1,1990,615689
81,5,1,1975,270033
96,5,8,1953,937825
72,4,8,1997,919997
67,1,6,1972,945822
103,1,6,2019,821118
102,5,5,1955,375711
106,1,8,1982,315521
72,1,7,1962,170571
75,5,7,1991,296969
67,1,7,2006,879699
117,1,4,2010,268536
107,3,6,1956,335384
81,5,9,2013,695026
87,1,6,1967,708704
72,4,6,1950,401966
58,3,2,1966,482772
111,2,2,1953,889510
109,4,5,1956,269206
112,3,9,1985,763507
59,2,8,1973,621800
72,2,7,1963,152121
115,3,7,1999,217330
96,1,6,2022,671542
94,1,2,1973,972568
83,5,10,1976,447340
97,5,7,2018,678904
76,2,10,2008,388286
116,3,2,1958,555789
98,2,4,2004,632554
88,2,5,1984,537780
58,5,4,1960,660610
52,2,10,1961,335759
53,3,6,2018,630236
60,3,8,1996,956558
62,3,7,2004,513491
90,5,2,1960,993758
80,5,9,1994,276456
90,1,7,1959,761914
71,2,6,1995,227310
108,5,10,2018,492431
115,3,2,1959,485811
112,1,7,1956,310390
54,3,1,2012,694314
55,4,6,1976,938099
74,1,4,1975,342130
80,3,7,1980,325160
72,5,1,1952,911039
50,3,4,2016,398837
56,3,7,1985,752762
118,2,5,2018,186416
62,4,3,1980,386592
73,1,1,1990,285678
75,5,8,1955,227095
111,1,8,2020,594985
97,5,5,1957,561698
111,3,3,1968,418389
87,3,10,1991,550141
65,5,7,1956,422159
109,4,8,1986,787992
102,5,9,2001,342643
91,1,4,2010,646472
93,5,9,1984,431513
69,1,2,1988,266124
101,3,6,2006,380253
111,1,10,2005,982480
92,2,9,1970,495230
97,2,2,1975,248159
66,2,10,2000,496871
55,3,2,1958,838842
83,5,6,1997,498240
67,2,2,1963,633227
63,1,10,1965,609460
60,4,2,1961,996693
55,5,3,2001,719154
120,2,3,1989,241308
58,3,5,1973,492215
65,2,7,1992,579236
53,4,5,2020,665904
118,4,6,1979,208002
101,3,8,1984,886418
55,2,1,1951,873067
81,2,4,1959,346522
56,5,4,1969,721511
117,4,2,2008,523848
85,4,9,1977,901990
64,1,4,1959,233087
61,2,2,1997,926133
67,5,7,1967,184000
105,1,5,1978,521694
50,5,6,2020,845482
109,5,5,1974,981780
94,2,3,1986,363006
97,3,4,1972,929276
85,4,9,1969,747214
111,5,4,1992,643327
98,4,6,1992,295941
100,2,8,1991,499847
96,4,4,1982,436435
89,1,2,1969,188040
96,5,6,1962,930698
80,2,10,1980,338426
50,5,6,2012,225121
92,5,7,1965,637221
105,5,1,2009,893813
62,4,4,1993,667680
100,1,3,1991,163864
55,3,3,2013,251147
98,1,2,1958,479316
89,1,2,2012,278285
77,5,1,1974,187865
53,1,10,1965,951682
105,1,4,1985,616838
55,4,3,1951,452062
60,3,1,2003,192091
120,3,9,1969,203107
106,4,1,1970,925168
72,3,9,2009,221042
115,3,10,1989,192303
71,4,2,1958,642935
93,4,9,2008,506047
99,5,6,2012,670290
62,4,5,2009,555539
115,4,4,2021,174514
75,5,5,1980,327455
79,1,8,1984,262920
80,4,5,2007,325323
110,1,2,1958,487879
56,5,4,1978,326335
81,1,6,1982,438845
88,2,8,1983,936263
119,5,4,1955,945132
115,1,7,1976,935606
114,1,7,2008,964677
109,3,6,1966,860042
84,1,1,1976,334487
54,2,7,1987,662942
57,3,6,2018,729040
113,3,2,1977,660284
87,3,4,1979,807648
104,1,10,1984,751117
59,2,10,2003,502444
100,4,9,1981,727727
73,1,2,1950,178835
97,4,9,1962,841069
65,2,2,2020,956350
76,5,9,1974,431699
55,3,8,1966,694456
75,5,1,1958,267155
50,4,2,1968,411630
100,3,6,2011,979790
55,4,10,1988,390037
104,2,1,1978,418832
106,5,10,1984,641646
51,5,9,2003,849435
83,4,2,1961,309865
74,1,10,1955,750202
65,2,9,1951,300304
75,3,2,2017,536169
86,2,7,1950,890220
87,2,6,1999,783252
80,4,6,1966,463047
74,1,2,1954,805378
53,3,8,1998,625264
92,5,2,1982,659509
89,5,8,2010,778513
71,4,10,1980,438989
112,5,6,1962,681049
105,5,2,2022,273498
58,2,1,1967,875818
116,4,4,1994,831740
73,1,10,2016,249748
103,4,3,1975,166804
109,2,7,1995,319266
113,1,2,1974,398110
67,5,6,1964,367311
62,2,4,1989,820297
118,1,3,1988,991743
99,2,7,1981,180625
107,2,2,1973,800045
93,5,7,2018,507064
120,3,7,2014,276338
120,5,1,1998,377570
83,2,5,1970,662329
104,4,9,1960,464948
53,4,2,2006,646861
77,4,7,1986,359104
100,2,1,1978,454936
96,4,4,2004,185194
63,2,9,2012,662271
116,1,2,1987,642182
62,2,3,2011,963107
86,1,3,1994,721613
78,4,5,2000,789687
119,2,7,1975,563820
63,4,10,2001,570127
111,4,4,1973,401617
63,2,9,1954,516146
81,3,9,1956,556804
91,2,1,1954,376952
116,3,2,1962,917620
83,2,7,1998,733174
79,2,1,1983,778209
81,4,1,2009,360145
83,1,5,2017,313369
57,2,1,1959,992652
113,1,7,1957,900334
98,3,2,1970,949904
77,1,7,1951,625492
85,4,4,1989,351156
97,1,4,2016,644420
76,1,3,1957,458720
80,4,1,1954,981109
57,1,10,1979,858066
90,5,9,1951,956709
71,4,1,1986,672273
104,3,6,1995,963848
111,1,9,1963,543384
53,1,5,1964,544241
75,2,9,1955,378406
100,1,6,2019,639748
106,4,2,1995,411402
90,2,10,2008,230248
63,1,6,1954,999750
87,4,2,1952,482571
71,4,9,1987,506350
66,3,1,2004,898809
100,2,8,1990,725320
64,1,4,1985,419119
119,3,2,2012,989923
84,2,5,1974,921017
57,3,2,2007,241938
66,4,1,1959,672813
55,2,2,1972,184130
71,5,2,2012,429825
92,5,5,2021,960148
61,2,9,1977,224720
98,3,10,1991,594987
120,2,3,1957,878826
84,1,10,1988,156092
106,4,8,1989,701168
115,4,7,1978,738670
116,1,5,1985,654102
53,1,4,2019,362880
55,1,4,1996,311663
73,4,8,1974,173122
103,1,8,2014,853603
84,4,3,1957,871355
76,2,2,1989,992674
73,2,1,1965,370968
116,5,1,1981,664984
56,2,5,1953,508735
120,4,5,1979,303550
114,3,10,1978,904718
104,3,1,1994,954752
55,4,4,2007,209358
72,4,3,1982,542746
50,3,8,1959,588340
106,5,7,1969,426698
53,1,1,2015,536790
90,1,6,1982,644036
78,2,4,1988,758510
57,5,4,2013,301441
99,2,7,1955,160405
109,4,2,2020,638081
57,3,7,2002,788100
89,4,8,2019,896482
89,1,10,1993,252342
64,1,2,2018,416540
53,2,5,1961,762529
80,3,7,1989,721187
87,5,4,1959,791681
62,3,8,1983,680749
58,4,8,1977,241212
106,1,5,1975,262086
114,1,2,1952,722764
83,1,5,2010,154130
56,5,4,1970,585357
87,4,3,1989,195827
50,3,9,1968,603595
98,2,10,1977,330313
103,4,6,1954,658647
69,1,2,2016,351547
75,1,9,1964,216800
110,5,5,1971,771031
66,4,2,2017,279614
106,4,8,1960,308726
69,5,9,1985,416417
69,4,6,2005,601382
56,3,3,2016,985275
79,1,5,1961,817103
105,1,5,1991,486068
54,3,7,1994,361061
84,2,5,2017,398834
80,1,2,1953,732737
116,3,3,2011,364917
105,5,8,1962,847269
97,5,7,1963,170736
61,5,9,2020,535857
95,1,7,1998,333452
93,3,8,2008,948299
119,2,5,1994,425678
99,5,7,2008,504138
52,3,10,2011,619446
67,4,3,1972,238360
96,3,3,1956,587495
63,1,9,1987,981096
107,4,7,1998,576235
